date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2006051,0,0,17,-65.629,115.583,1,-79.24,0
2006052,1,0,17,-65.629,115.583,1,-60.14,0
2006053,1,0,17,-65.629,115.583,1,-41.05,0
2006054,1,0,17,-65.629,115.583,1,-21.95,0
2006055,1,0,17,-65.629,115.583,1,-2.85,0
2006056,1,0,17,-65.629,115.583,1,16.25,0
2006057,1,0,17,-65.629,115.583,1,35.34,0
2006058,1,0,17,-65.629,115.583,1,54.44,0
2006059,1,0,17,-65.629,115.583,1,73.54,0
2006060,1,0,17,-65.629,115.583,1,92.63,0
2006061,1,0,17,-65.629,115.583,1,111.73,0
2006062,1,0,17,-65.629,115.583,1,130.83,0
2006063,1,0,17,-65.629,115.583,1,149.93,0
2006064,1,0,17,-65.629,115.583,1,180.04,0
2006065,1,0,17,-65.629,115.583,1,191.06,0
2006066,1,0,17,-65.629,115.583,1,224.02,0
2006067,1,0,17,-65.629,115.583,1,258.26,0
2006068,1,0,17,-65.629,115.583,1,291.22,0
2006069,1,0,17,-65.629,115.583,1,325.47,0
2006070,1,0,17,-65.629,115.583,1,362.17,0
2006071,1,0,17,-65.629,115.583,1,400.06,0
2006072,1,0,17,-65.629,115.583,1,438.77,0
2006073,1,0,17,-65.629,115.583,1,478.69,0
2006074,1,0,17,-65.629,115.583,1,528.62,0
2006075,1,0,17,-65.629,115.583,1,578.94,0
2006076,1,0,17,-65.629,115.583,1,625.12,0
2006077,1,0,17,-65.629,115.583,1,667.04,0
2006078,1,0,17,-65.629,115.583,1,708.47,0
2006079,1,0,17,-65.629,115.583,1,747.99,0
2006080,1,0,17,-65.629,115.583,1,784.72,0
2006081,1,0,17,-65.629,115.583,1,820.36,0
2006082,1,0,17,-65.629,115.583,1,855.48,0
2006083,1,0,17,-65.629,115.583,1,891.32,-0.0434
2006084,1,0,17,-65.629,115.583,1,921.91,-0.0115
2006085,1,0,17,-65.629,115.583,1,965.47,0.1694
2006086,1,0,17,-65.629,115.583,1,1007.41,0.0837
2006087,1,0,17,-65.629,115.583,1,1031.1,0.1877
2006088,1,0,17,-65.629,115.583,1,1074.9,0.1253
2006089,1,0,17,-65.629,115.583,1,1096.19,0.0554
2006090,1,0,17,-65.629,115.583,1,1136.44,0.104
2006091,1,0,17,-65.629,115.583,1,1159.05,0.1576
2006092,1,0,17,-65.629,115.583,1,1177.67,0.2628
2006093,1,0,17,-65.629,115.583,1,1200.67,0.3626
2006094,1,0,17,-65.629,115.583,1,1227.54,0.2722
2006095,1,0,17,-65.629,115.583,1,1251.71,0.3169
2006096,1,0,17,-65.629,115.583,1,1274.96,0.0664
2006097,1,0,17,-65.629,115.583,1,1298.17,-0.0303
2006098,1,0,17,-65.629,115.583,1,1319.87,-0.1266
2006099,1,0,17,-65.629,115.583,1,1330.97,-0.1799
2006100,1,0,17,-65.629,115.583,1,1337.82,-0.2255
2006101,1,0,17,-65.629,115.583,1,1352.13,-0.235
2006102,1,0,17,-65.629,115.583,1,1369.93,-0.1298
2006103,1,0,17,-65.629,115.583,1,1382.72,-0.0473
2006104,1,0,17,-65.629,115.583,1,1392.53,-0.0711
2006105,1,0,17,-65.629,115.583,1,1406.05,0.0617
2006106,1,0,17,-65.629,115.583,1,1415.19,-0.1999
2006107,1,0,17,-65.629,115.583,1,1424.35,-0.0036
2006108,1,0,17,-65.629,115.583,1,1433.4,0.0122
2006109,1,0,17,-65.629,115.583,1,1450.53,0.0694
2006110,1,0,17,-65.629,115.583,1,1462.21,0.1199
2006111,1,0,17,-65.629,115.583,1,1474.73,0.2115
2006112,1,0,17,-65.629,115.583,1,1487.64,0.1573
2006113,1,0,17,-65.629,115.583,1,1500.09,0.1571
2006114,1,0,17,-65.629,115.583,1,1512.44,0.0171
2006115,1,0,17,-65.629,115.583,1,1524.6,0.299
2006116,1,0,17,-65.629,115.583,1,1532.78,0.0901
2006117,1,0,17,-65.629,115.583,1,1543.35,-0.0128
2006118,1,0,17,-65.629,115.583,1,1552.58,-0.1042
2006119,1,0,17,-65.629,115.583,1,1561.5,-0.0049
2006120,1,0,17,-65.629,115.583,1,1575.68,-0.279
2006121,1,0,17,-65.629,115.583,1,1590.05,-0.3986
2006122,1,0,17,-65.629,115.583,1,1603.47,-0.3781
2006123,1,0,17,-65.629,115.583,1,1629.11,-0.292
2006124,1,0,17,-65.629,115.583,1,1648.1,-0.3239
2006125,1,0,17,-65.629,115.583,1,1669.4,-0.2243
2006126,1,0,17,-65.629,115.583,1,1684.78,-0.0475
2006127,1,0,17,-65.629,115.583,1,1700.72,0.2515
2006128,1,0,17,-65.629,115.583,1,1711.1,-0.1811
2006129,1,0,17,-65.629,115.583,1,1724.76,-0.0671
2006130,1,0,17,-65.629,115.583,1,1735.86,-0.1543
2006131,1,0,17,-65.629,115.583,1,1750.63,-0.5998
2006132,1,0,17,-65.629,115.583,1,1764.03,-0.6063
2006133,1,0,17,-65.629,115.583,1,1772.72,-0.7431
2006134,1,0,17,-65.629,115.583,1,1775.69,-0.5952
2006135,1,0,17,-65.629,115.583,1,1780.34,-0.4279
2006136,1,0,17,-65.629,115.583,1,1786.58,-0.365
2006137,1,0,17,-65.629,115.583,1,1792.36,0.1262
2006138,1,0,17,-65.629,115.583,1,1797.45,0.2148
2006139,1,0,17,-65.629,115.583,1,1801.49,0.0534
2006140,1,0,17,-65.629,115.583,1,1807.25,0.157
2006141,1,0,17,-65.629,115.583,1,1812.51,-0.0043
2006142,1,0,17,-65.629,115.583,1,1818.14,-0.017
2006143,1,0,17,-65.629,115.583,1,1822.18,-0.0158
2006144,1,0,17,-65.629,115.583,1,1821.2,0.0269
2006145,1,0,17,-65.629,115.583,1,1814.84,-0.0807
2006146,1,0,17,-65.629,115.583,1,1810.4,-0.0176
2006147,1,0,17,-65.629,115.583,1,1806.53,-0.0046
2006148,1,0,17,-65.629,115.583,1,1790.83,-0.0618
2006149,1,0,17,-65.629,115.583,1,1781.5,-0.1841
2006150,1,0,17,-65.629,115.583,1,1770.95,-0.2701
2006151,1,0,17,-65.629,115.583,1,1763.15,-0.2244
2006152,1,0,17,-65.629,115.583,1,1751.97,-0.3138
2006153,1,0,17,-65.629,115.583,1,1749.68,-0.2065
2006154,1,0,17,-65.629,115.583,1,1747.14,0.0361
2006155,1,0,17,-65.629,115.583,1,1743.97,0.1164
2006156,1,0,17,-65.629,115.583,1,1738.57,0.2269
2006157,1,0,17,-65.629,115.583,1,1734.93,0.1669
2006158,1,0,17,-65.629,115.583,1,1732.38,0.1007
2006159,1,0,17,-65.629,115.583,1,1730.43,0.0691
2006160,1,0,17,-65.629,115.583,1,1730.14,-0.0475
2006161,1,0,17,-65.629,115.583,1,1727.49,-0.0486
2006162,1,0,17,-65.629,115.583,1,1721.3,-0.1113
2006163,1,0,17,-65.629,115.583,1,1718.76,-0.2093
2006164,1,0,17,-65.629,115.583,1,1713.38,-0.4261
2006165,1,0,17,-65.629,115.583,1,1704.83,-0.3714
2006166,1,0,17,-65.629,115.583,1,1696.48,-0.3238
2006167,1,0,17,-65.629,115.583,1,1688.51,-0.0895
2006168,1,0,17,-65.629,115.583,1,1679.55,-0.031
2006169,1,0,17,-65.629,115.583,1,1671.14,-0.0628
2006170,1,0,17,-65.629,115.583,1,1663.01,0.093
2006171,1,0,17,-65.629,115.583,1,1652.51,0.0903
2006172,1,0,17,-65.629,115.583,1,1641.72,-0.1198
2006173,1,0,17,-65.629,115.583,1,1630.37,0.0219
2006174,1,0,17,-65.629,115.583,1,1616.72,0.0558
2006175,1,0,17,-65.629,115.583,1,1603.93,0.1646
2006176,1,0,17,-65.629,115.583,1,1594.57,0.0715
2006177,1,0,17,-65.629,115.583,1,1585.78,-0.0032
2006178,1,0,17,-65.629,115.583,1,1576.85,0.0423
2006179,1,0,17,-65.629,115.583,1,1568.85,-0.0117
2006180,1,0,17,-65.629,115.583,1,1562.57,0.0572
2006181,1,0,17,-65.629,115.583,1,1558.31,0.1172
2006182,1,0,17,-65.629,115.583,1,1551.37,0.1508
2006183,1,0,17,-65.629,115.583,1,1545.03,-0.0016
